url,Extract Method,Move Field,Inline Method,Move Method,Pull Up Method,Pull Up Field,Extract Superclass,Extract Interface,Push Down Method,Push Down Field,total refactoring types
https://github.com/facebook/facebook-android-sdk/commit/cec936bbbada35cb0c6425ad86e1ff05ec4f0cc0,1,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/afcd5b95b60f333220bca5dce219f1e8429fcb5f,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5f8ad2d415c02553a26186f1969f9bc81d0334e9,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/4e8b95329ea63556e08115b436291274c066187e,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/fb8106ecdaf17c8eb86c71895f74875d6536582c,1,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/9363bdb4744ee3eb85cb9dc5279e4dd908d2a849,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5ff57913d310e6461f2386e7efe5ae2b3bec1cf2,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/235babf4fa645bd2fcd887174dd7dad8e549d193,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/517a3df6531474c17095aa39dfd2dbc8f9089979,1,0,0,0,0,0,0,0,0,0,5
https://github.com/facebook/facebook-android-sdk/commit/28a3895a0ab6683afffd384949d3b35b9bdd50a9,1,0,1,0,0,0,0,0,0,0,11
https://github.com/facebook/facebook-android-sdk/commit/68379bcac43286c87884d6b872354d130649546a,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/7d0d5779348bc6f87516a8558362193fa158bb78,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/3d5e03b6dc1ef7ef602cf73fbac57e78e2759114,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/7833a7dd85a6a56450ecab4e86d70987a7ed2c1b,1,0,0,0,0,0,0,0,0,0,3
https://github.com/facebook/facebook-android-sdk/commit/68f35fb2f7f111b4a52d17f08966452014b35009,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6c071f6c7424e4ceb07ce9c7af9941fa8db11fe7,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/888866b1c964fb50fde6abf00a2ac4c2bf169c74,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/2aac18fd5f42c23b06a3bb13e1be0577be93da76,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/37051a93f170a60833bc0a520fe49d2da04e49cb,1,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/2ee74d305d197e2c23471981c355a5c24ebe95cf,1,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6d1b4820547d52497823b2d99a69e0aee0bb2c54,1,0,0,0,0,0,0,0,0,0,5
https://github.com/facebook/facebook-android-sdk/commit/e12bf47f6b93b0b6895c271223685309f67d09b4,1,0,1,0,0,0,0,0,0,0,11
https://github.com/facebook/facebook-android-sdk/commit/62918cb51ff3422ce24a4f7ba60450e19c653686,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/53800d3dd9c93e586e498c4949091b6a153fcd88,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/3f2f613704ffb66be1bf9af3b12cd682a6b45181,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/43400941ecb0770f6e651aa71d2eb0fc6a99a70f,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/41cbc7f0e4eeee4baa5b53e129dab5d54e62639a,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5a1a6ff30fa5fe86270218fc45239b03541c076a,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/cba8624b157699eb1bb4cffa43abea2e44337c6d,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/4f41d63b52918f5a014d79dfac09d0c3ab38b26b,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/c413d48ea46fb8f60991e94b32b9deeb5be38cbf,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/136572ae61bb6249b64dc1acf54e7502209c708d,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/0c6be8c28fdd663c2d7fb8ca4e954915bcdc98e9,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/06d46303b0f3cdfba077a2429e617ebfef6389bf,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/6df2b674e26dce7abfa4138bd2f6454eed17dc33,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/7b3990d747a152016d172d4af28726ea39e0a35e,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/00ceadda3b38c4edf2459dd2686e5d1c7fdd6559,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/1de5a0b0c06504cc2de2286fb975ffdf29604f14,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/ab585d64cb076e7d2c792be4a7235bee0835837a,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/825e8fd85f125bb12f2e673680af9f7f28be31fc,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/5aa266ceebac4dcaf1fdfafda64d7394f66f0c5a,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/dff6ccb02e347adc42baa573cdeca06def2eed1a,0,0,0,0,0,0,0,0,0,0,2
https://github.com/facebook/facebook-android-sdk/commit/87192818c1e572646ae4ef1c27213f65b042c4b5,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/6b40cfc53395a5ff437aec780c856b056a34797d,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/1ac93a9c58fdbf460eb9600014ea0a572c5e07a1,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/e3fdc916c360869ddeaa9d6607384e1e99fd9520,0,0,0,0,0,0,0,0,0,0,4
https://github.com/facebook/facebook-android-sdk/commit/c61ec4d6fb72090e87eb08f84fc873209aa08765,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/3fdb5377d3c2104ac19c0f80aebcc50a9ae98deb,0,0,0,0,0,0,0,0,0,0,1
https://github.com/facebook/facebook-android-sdk/commit/afeac93ca7bd0083bec9b74e4277c2ac78955149,0,0,0,0,0,0,0,0,0,0,2
